"","C1","C2","C3","E1","E2","E3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","delabel"
"GPC6",79.5915030410888,98.2495854554727,92.0125942436935,53.4802523631508,79.4723899296237,59.9901702333146,77.1327492110573,-0.489429819588141,0.259551945470578,-1.88567193630849,0.0593391768963733,0.0896940089106851,"NO",NA
"DCT",88563.8316676937,98124.8084819443,99300.1984776687,130467.303983755,150477.052678718,150504.624584988,119572.969979128,0.593243731034369,0.0653820631782263,9.0734935882527,1.1526078536574e-19,6.88966528925412e-19,"UP",NA
"TGDS",846.466390450499,1097.44786953763,1033.84937352465,2710.78029165721,2788.2496241506,3073.06788707087,1924.97690606524,1.52544902133016,0.0906212400616378,16.8332393188683,1.39269756779541e-63,2.86742819179297e-62,"UP",NA
"GPR180",2431.84308616084,2712.6710544256,2742.80238796088,1758.16329643858,2062.92414986333,2150.36193538703,2309.79431837271,-0.400053183327228,0.0824156581054731,-4.85409195926401,1.20939609575741e-06,3.33881025897487e-06,"DOWN",NA
"ABCC4",1620.87020382325,1712.49027448889,1794.76251243878,723.097578826768,734.280109772298,694.17196984264,1213.27877486544,-1.25498663496212,0.0804994101567214,-15.590010318322,8.5119804355311e-55,1.43546336730777e-53,"DOWN",NA
"DZIP1",2070.45463992022,2172.2983344205,2105.9511738697,1713.59641946929,1832.34228612386,1644.01633187012,1923.10986427895,-0.292485221210545,0.0701731439047061,-4.16805069483183,3.07215618006989e-05,7.41754506271191e-05,"DOWN",NA
"DNAJC3-DT",77.4403813372756,82.5296517825971,92.0125942436935,30.0826419542723,38.0572008113691,49.9918085277622,61.685713109495,-1.07336283111887,0.294037840552247,-3.65042413963771,0.000261807627001267,0.000570825248551104,"DOWN",NA
"DNAJC3",2665.23979102457,2734.28596322581,2870.99971027794,2105.78493679906,2123.36793938727,2226.77798556518,2454.4093877133,-0.356370288114915,0.0647393291065843,-5.50469541518111,3.69807061900882e-08,1.16097828373863e-07,"DOWN",NA
"UGGT2",1240.12166224832,1430.51396423168,1295.41326502638,1201.07733432243,1212.23377878567,1297.64451564206,1279.50075337609,-0.0948176409239344,0.0822500001932612,-1.15279806323578,0.248993279536158,0.319907133551956,"NO",NA
"MBNL2",2431.84308616084,3036.89468642866,3344.50272335223,11216.3687612467,15811.6476076882,14945.4082437211,8464.44418476629,2.25171209439967,0.195773601641219,11.5016124519496,1.29473777526902e-30,1.1418042995205e-29,"UP",NA
"RP11-128N14.6",8.60448681525284,5.89497512732836,16.5415899763943,15.5984069392523,16.7899415344275,19.9967234111049,13.9043539672934,0.764328894435177,0.604229293765875,1.26496497657616,0.205883883075073,0.271103948775225,"NO",NA
