"","A1","A2","A3","B1","B2","B3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GABPB1-IT1",210.908024758347,198.098899654832,142.096931666694,255.007942145609,220.06227490707,228.584044304617,209.126352906195,-0.354412225223502,0.184718344407653,-1.91866285051448,0.0550270158803258,0.234943778587077
"GABPB1-AS1",1108.38898117685,1231.9970894264,1028.41376443665,1063.69071587585,1427.86950723112,1336.87031972094,1199.5383963113,-0.185017311546447,0.13205054730072,-1.40110976689181,0.161181251396144,0.431817626628332
"USP8",3521.49090274709,3353.21339696634,2718.24274317798,3018.42085605814,3254.28497777321,3279.44987468677,3190.85045856826,0.00580685846083457,0.112652144144825,0.0515468081403697,0.958889803900081,0.984923729572909
"USP50",41.5084942343556,67.887825162611,36.8020830215898,70.4496649507325,60.8467119558717,46.9482380558304,54.0738362301652,-0.283200495348436,0.326580377095847,-0.867169356183701,0.38584922378285,0.666814829196155
"TRPM7",5129.10366593173,4935.7787638718,3872.3969579384,5036.65491957631,5565.4459202304,5579.14389617565,5019.75402062071,-0.215600692865987,0.117993791195807,-1.82722065865486,0.0676665989410832,0.266043970859239
"SPPL2A",1591.90684644731,1562.53289390665,1734.80930243439,1516.15616964393,1626.63543295364,1546.21328285513,1596.37565470684,0.0607999448384681,0.0909955247823808,0.668164121080388,0.504028835187634,0.751127721196126
"AP4E1",1764.67193055788,1720.56684756388,1467.99420052786,1399.07081099342,1703.70793476441,1656.27226714995,1618.7139985929,0.057127302412722,0.117008989543642,0.488230029466367,0.625386916404595,0.829870214976742
"CYP19A1",121.159929116497,106.839855993617,107.33940881297,135.93808589085,85.1853967382204,103.132195073463,109.93247860427,0.0487138963940993,0.228901020909171,0.212816422576941,0.831470153795893,0.934847549771977
"DMXL2",5078.62036213319,4784.42230121417,2868.51791551614,3956.09597406437,5031.00896688466,4877.99889832546,4432.777403023,-0.123241459188948,0.18248779290104,-0.675340839130975,0.499459243041555,0.747744744513787
"RP11-707P17.2",67.3110717313875,47.8553521638077,14.3119211750627,33.7364592721818,66.9313831514589,63.880389485802,49.0044294966168,-0.352155969090002,0.469232365994114,-0.750493773684868,0.452957372345759,0.71819370226726
"LYSMD2",701.156997201953,723.394858290117,983.433440743595,633.054735754469,579.057875446713,608.018164985344,704.686012070365,0.404560585359703,0.145525250618443,2.7800026706048,0.00543584514130447,0.0526045336458002
"TMOD2",1183.5530112769,1038.34985043797,869.960351427026,1121.24114639898,1070.90213042334,1127.52735658675,1068.58897442516,-0.103394041713837,0.124883374496495,-0.827924790875499,0.407713094190601,0.684168281684016
"TMOD3",2390.66489765978,2426.15506318839,2268.43950624744,2115.47444612622,2076.90110142709,2329.71010811473,2267.89085379394,0.118695996534259,0.0890750695707372,1.33253891471844,0.182683162794967,0.461688986065057
"RP11-56B16.2",14.5840655418006,6.67749099960108,11.2450809232636,6.94574161486095,19.2681254526927,14.6232216895209,12.22395437029,-0.330196583404882,0.620143500134855,-0.532451897557708,0.594413049106268,NA
"LEO1",1345.09958343223,1179.69007659619,1431.19211750627,1216.49703140279,1216.93423911744,1219.88454620477,1268.21626570995,0.11516793237279,0.103065359161023,1.11742619741769,0.263812139076506,0.556793293388604
"MAPK6",5831.3825143292,6024.20979680677,4877.29828044459,4909.64707290457,5232.81722820497,4911.8632011854,5297.86968231258,0.152444545285923,0.101523506433405,1.50156895325438,0.133208466456331,0.388735451027912
"GNB5",1068.00233813801,1225.3195984268,1067.26040762611,1208.55904098581,1141.88996103853,1162.16130269351,1145.53210815146,-0.0639941083291774,0.100358058581196,-0.637657894481905,0.523696400001266,0.761574934557005
"MYO5A",17864.3584375102,17388.1865629612,11369.7990935034,14803.3598788729,17918.3425591383,17993.4894673321,16222.922666553,-0.121460972559826,0.158446558501946,-0.766573750217077,0.443334987461713,0.711219500391365
"ARPP19",8206.34149525166,8351.31541016775,7654.83326849069,7895.32371849265,8124.05015797481,8231.33452470665,8077.19976251403,-0.00240093803737275,0.0761017274210336,-0.0315490609574411,0.974831666611921,0.99029589731786
"FAM214A",365.723489740539,397.310714476264,331.218747194309,488.186410644512,500.971261770011,512.58240238005,432.665504367614,-0.458131880186549,0.124247155063546,-3.68726253693486,0.000226679458485595,0.00472739408179275
"ONECUT1",112.185119552312,143.566056491423,95.0720478057737,92.2791385974383,132.848654436987,118.525060009801,115.746012815623,0.0275837893626897,0.23384220239978,0.117958987212805,0.90610015440205,0.963944183475513
"WDR72",59.4581133627256,66.7749099960108,63.3813652038492,57.5504305231336,36.508027173523,66.1893192262527,58.3103609142491,0.234223420447597,0.296238331673515,0.790658721052126,0.429143170360416,0.699794747972895
"RP11-547D13.1",11.2185119552312,20.0324729988032,18.4010415107949,19.8449760424599,6.08467119558718,15.3928649363378,15.1624231065357,0.260872679144947,0.571112388195986,0.456779934277007,0.647829229780656,NA
"RSL24D1",2266.13941495671,2315.97646169497,2764.24534695497,3109.70774585346,2785.76529571299,2967.74435972593,2701.59643748317,-0.270547556096932,0.105697220876913,-2.55964682753571,0.0104778584206574,0.0823665585233989
"RAB27A",4267.52194776997,4241.31969991329,4385.58156007279,5063.44563723363,4537.13648817617,4993.44538534799,4581.40845308564,-0.17873905345773,0.0817900727642369,-2.18533921559103,0.0288639840712896,0.158185749214245
"PIGBOS1",226.613941495671,233.712184986038,276.015622661924,232.18621969678,242.372735957556,238.589406513236,241.581685218534,0.0475377379383812,0.150722683996391,0.315398695656982,0.752458957051813,0.897059610720133
"PIGB",694.425890028814,770.137295287324,741.153060851462,706.481147111571,803.176597817507,651.887830053907,727.876970191764,0.0308659579169821,0.118201000598122,0.26113110515811,0.793991405168473,0.918499981673813
"CCPG1",309.630929964383,361.697429145058,455.936917434141,419.721243298026,417.814088763653,405.601991072502,395.067099946294,-0.139324701462012,0.156084788615285,-0.892621905683693,0.37205968415639,0.656630028035672
"C15orf65",14.5840655418006,18.9195578322031,12.2673610071966,11.9069856254759,16.2257898548991,9.2357189618027,13.8565798038963,0.302030963174636,0.541033852341457,0.558247809942987,0.576675177715915,NA
"PYGO1",562.047448957086,639.926220795103,538.741604232718,450.480956163839,508.070044831529,547.21634848681,541.080437244514,0.207141570644549,0.128934897891116,1.60655938797483,0.108151057422215,0.346386203264347
"PRTG",3896.18920205181,4098.86655858846,3157.82317926919,2645.3353064599,3257.327313371,3215.56948520097,3378.51850749022,0.290274037345357,0.126113912327577,2.30168132910967,0.0213531498812351,0.130013792486896
"NEDD4",1539.17984025773,1637.09821006886,1302.38482693071,1193.67530895396,1435.98240215857,1301.46673036736,1401.63121978953,0.187885100960441,0.120004362480654,1.56565225693966,0.117430049031571,0.362357957155757
"RFX7",2328.96308190601,2231.39490903336,1503.77400346552,1745.36564293434,2176.28406428835,2137.29929641051,2020.51349967301,0.000775463395990288,0.160828864485826,0.00482166804117819,0.996152880419249,0.998752005423796
"TEX9",191.836554434454,191.421408655231,206.500576954476,258.976937354101,273.810203801423,260.909060670926,230.575790311769,-0.427245600998553,0.145772261129884,-2.93091153067781,0.00337969015587053,0.0376586062488127
"MNS1",256.903923774796,247.06716698524,230.013018884936,242.10870771801,268.739644471767,257.060844436842,250.315551045265,-0.0659403757773438,0.143507333646537,-0.45949133122184,0.645881375775861,0.841194401848663
"ZNF280D",620.383711124288,506.376400803082,599.056129184768,651.907462994806,649.031594195965,708.07178707154,622.471180895742,-0.21991955287504,0.12065012454836,-1.82278761582952,0.0683355641141291,0.267402048500592
"RP11-31H5.3",22.4370239104625,17.8066426656029,34.7575228537237,15.8759808339679,29.4092441120047,26.9375136385912,24.5373213357255,0.056071441912044,0.44721940734753,0.125377926339568,0.900224362437708,NA
"RP11-323F24.5",68.4329229269106,51.1940976636083,59.292244868117,33.7364592721818,53.7479288943534,36.1732326003939,50.4294810375941,0.538394402574692,0.309694351576856,1.73847020403625,0.0821279958315606,0.297808011529098
"TCF12",2506.21557079866,2519.63993718281,1759.34402444878,2202.79234071304,2179.32639988614,2157.31002082775,2220.77138230953,0.0529305976955104,0.136514768905991,0.387727995437332,0.698217336001122,0.869522561856032
"LINC00926",24.6807263015087,17.8066426656029,51.1140041966526,24.8062200530748,40.5644746372478,31.5553731194925,31.7545734955966,-0.0429410555626862,0.446348262093156,-0.096205271106722,0.923357544498571,0.972654107948161
"POLR2M",963.670176954364,826.895968783934,962.987839064934,957.520094048688,905.601896276558,1040.55766969644,942.872274137486,-0.0773773607678909,0.111645568104745,-0.693062537827709,0.488270306111633,0.740932208609496
"ALDH1A2",60.5799645582487,70.1136554958113,54.1808444484517,60.5271769295026,106.481745922776,83.8911139030412,72.6290835429718,-0.441442656994691,0.280385870681025,-1.57441120667913,0.115392414654377,0.358952832728438
"RP11-50C13.1",187.349149652362,231.486354652837,410.956593741087,266.914927771085,207.892932515895,237.819763266419,257.069953599948,0.221238475709322,0.253118873442423,0.874049701235128,0.382091187718199,0.664085351537846
"ADAM10",16425.0233536541,16259.6905840286,14060.4402744152,14792.4451420496,16125.3927801719,15856.1901709216,15586.5303842068,-0.000953942534178418,0.0916656783224389,-0.0104067580324107,0.991696758312559,0.997499279956393
"MINDY2",3853.55885662193,3911.89681059963,2835.80495283028,2942.01769829467,3478.403700144,3662.73221160159,3447.40237168202,0.0719053096069994,0.138525445322101,0.519076545394275,0.603707363594467,0.815998003865271
"RNF111",1853.2981750042,1883.0524618875,1224.6915405518,1458.6057391208,1664.15757199309,1603.16688311958,1614.4953952795,0.0695869771657763,0.155529636797617,0.447419402491927,0.654572269304464,0.845595452067301
"SLTM",3315.07028277083,3215.21191630792,3066.84025179915,2827.90908605053,3244.1438591139,3092.42656571027,3126.9336602921,0.0664042768367028,0.0894300893593302,0.742527233422415,0.457767957902926,0.720570887952016
"CCNB2",2785.55651848392,2639.83477517563,3366.36831639154,2311.93970894657,2224.96143385304,2343.56368655743,2612.03740656802,0.353777210018615,0.109423590895526,3.23309815665243,0.0012245547984299,0.0179560139635091
"MYO1E",1190.28411845004,1263.1587140912,980.366600491796,1021.02401738456,1234.17414083827,1222.96311919204,1151.99511840798,-0.0193628249879557,0.128812183555193,-0.150318273113188,0.880513516928168,0.953968031289037
"FAM81A",2024.94140791924,2202.45911470176,2208.12498129539,1530.04765287365,1503.92789717596,1594.7008074046,1844.03364356177,0.475131554706152,0.0870687121893152,5.45697234700181,4.8432174572003e-08,3.43894761295228e-06
"GTF2A2",1932.94960988634,1827.4067035575,2509.69760605564,1844.59052314664,1873.06461637492,1760.17410547023,1957.98052741521,0.195440984344581,0.127159834035636,1.53697105557569,0.124300397519378,0.373931543539182
"BNIP2",3651.62564142777,3751.63702660921,3568.77977301028,3145.42870272989,3368.87961862343,3432.60888080334,3486.49327386732,0.141212123490708,0.080196058675096,1.76083620346993,0.0782661302958388,0.289018369789467
"RPS3AP6",215.39542954044,215.905542320435,410.956593741087,333.395597513326,330.60046829357,264.757276905011,295.168484718978,-0.137898874988934,0.238159460438375,-0.579019093909206,0.562576289615362,0.789000756270862
"ANXA2",35148.719806935,34554.903007769,44852.5386825626,32449.5125758282,30265.1545268506,29960.6723120879,34538.5834853389,0.305830590917601,0.11334436852745,2.69824248783507,0.00697066447367683,0.0623352028395536
"RP11-745A24.1",15.7059167373238,27.8228791650045,8.17824067146441,5.95349281273796,20.2822373186239,23.0892974045067,16.8386773516102,0.0543940861869014,0.625988375025742,0.0868931251074185,0.930756464221182,NA
"ICE2",1297.98183322026,1278.73952642361,1176.64437660694,1302.82267718749,1264.5974968162,1334.56138998049,1275.89121670583,-0.0567778384734707,0.0919330282874006,-0.617600002210001,0.536839043139004,0.771631250800437
"RORA-AS1",10.0966607597081,7.79040616620126,11.2450809232636,11.9069856254759,5.07055932965598,16.1625081831547,10.3787001645766,-0.200882751127723,0.653327975080161,-0.30747612040197,0.758480996421004,NA
"RORA",19.0714703238931,8.90332133280144,13.2896410911297,17.8604784382139,17.2399017208303,20.0107244172392,16.0625895540179,-0.421866403317313,0.508552286064115,-0.829543814623865,0.406796754659642,NA
"VPS13C",3060.41006138709,3099.4687389815,2257.19442532418,2538.17243583062,3081.8859605649,3084.7301332421,2853.6436258884,-0.0488758693335975,0.137990867320414,-0.354196406491946,0.72319169646539,0.883237488363305
"RP11-299H22.3",1789.35265685938,2112.31298620714,1597.82377118736,1814.82305908295,2231.04610504863,2174.24217225772,1953.26679177386,-0.178071850441844,0.128862921265309,-1.38187035256807,0.167011512570937,0.440307209577521
"RP11-1O10.1",79.6514348821419,86.807382994814,50.0917241127195,55.5659329188876,100.397074727188,92.357189618027,77.4784565422964,-0.202225455870411,0.304913133634286,-0.663223172646152,0.507187632534404,0.752573131068937
"GOLGA2P11",321.971293115137,440.714405973671,150.275172338158,281.79865980293,392.461292115373,382.512693667995,328.288919502211,-0.211684544134045,0.454925419600336,-0.465317027832859,0.641704442525279,0.83909493031852
"RP11-299H22.4",44.874047820925,51.1940976636083,19.423321594728,50.6046889082726,43.6068102350414,58.4928867580837,44.6993088301098,-0.412082132189705,0.374862295225915,-1.09928935888673,0.271641872344928,0.56340949401622
"RP11-299H22.6",76.2858812955725,114.630262159819,69.5150457074475,70.4496649507325,90.2559560678764,103.90183832028,87.5064414169546,-0.0289362107049095,0.269885791586839,-0.107216502709439,0.914617223626265,0.96839013471355
"TLN2",584.484472867548,671.087845459908,443.669556426944,545.736841167646,726.104096006736,707.302143824723,613.064159292251,-0.221283662582418,0.170124341275744,-1.30071723377758,0.193355261074424,0.4736007660175
"TPM1",1541.42354264877,1582.56536690546,1778.76734604351,1504.24918401846,1594.18385324384,1546.98292610195,1591.36203649366,0.0782060497273671,0.0955114798585405,0.818813087632985,0.412893062746809,0.687453852933078
"LACTB",1275.54480930979,1275.40078092381,1264.56046382518,1202.60554817307,1194.62377806695,1202.18275152798,1235.8196886378,0.0840317468643276,0.0849630097695322,0.989039195907364,0.322643964870427,0.615331261002165
"RPS27L",5414.0538695946,5071.55441419702,6881.9895250373,5920.7486022679,5090.8415669746,5542.20102032844,5653.56483306664,0.0693462915281306,0.124946327691457,0.555008640985228,0.578888750063431,0.801555876040939
"RAB8B",1867.882240546,1794.01924855949,1535.46468606744,1702.69894444306,1761.51231112249,1814.04913274741,1745.93776058098,-0.0229303017459316,0.102913063352248,-0.222812352475083,0.823681553782573,0.931187742955269
"APH1B",375.820150500247,385.068647643662,313.839985767447,426.666984912887,384.348397187923,381.743050421178,377.914536072224,-0.150704000610815,0.13674981142476,-1.10204174353639,0.27044352419406,0.562798930737111
"USP3",614.774455146672,549.780092300489,524.429683057655,661.829951016036,576.015539848919,625.719959662133,592.091613505317,-0.142734849734871,0.119095326861337,-1.19849244715586,0.230725361615411,0.521076378479748
"USP3-AS1",32.5336846701706,35.6132853312058,29.6461224340585,38.6977032827967,19.2681254526927,30.7857298726757,31.0907751739333,0.136280648811933,0.384414192524676,0.354515133577397,0.722952864592689,0.883084900993705
"HERC1",4917.07378997786,4698.72783338596,2987.10240525237,3756.65396483765,4610.15254252322,4591.69161050957,4260.23369108111,-0.0403664068014495,0.168313690451511,-0.23982842211566,0.810463272219958,0.925821654343762
"CIAO2A",2497.24076123448,2501.8332945172,3316.27659227882,2716.77722021275,2512.9692037775,2575.99594709614,2686.84883651948,0.0915590989255142,0.123834542784052,0.739366390565023,0.459684545074469,0.72158819913468
"SNX1",4062.22317898924,4589.66214705914,4498.03236930542,4169.42946652082,4010.81242975788,3956.73593188564,4214.48258725302,0.115817129110125,0.0847975630302927,1.36580728232427,0.171999460074899,0.446487769894407
"SNX22",22.4370239104625,17.8066426656029,46.0026037769873,36.7132056785507,37.5221390394542,30.7857298726757,31.8778908239555,-0.27374244674105,0.419726196614594,-0.652192903252138,0.514276737516921,0.756391486621476
"PPIB",2960.56530498553,2772.27168000105,3546.28961116375,3204.96363085727,2755.34193973506,2788.4174832176,3004.64160832671,0.0852749901874458,0.117074813025386,0.728380323519755,0.466380804745595,0.725475082033718
"CSNK1G1",1267.69185094113,1258.7070534248,962.987839064934,1191.69081134971,1274.73861547551,1116.75235113131,1178.76142023123,-0.0382895976110873,0.128223294387779,-0.298616548528928,0.765232637370153,0.903319599004493
"PCLAF",1014.15348075291,1117.36682726658,1489.46208229046,841.426984200298,889.376106421659,918.184393452551,1044.99497906407,0.451225633212512,0.144868888835493,3.11471729257828,0.00184121286061807,0.0241278295125127
"TRIP4",1000.69126640663,974.913685941757,1131.66405291389,888.062677900079,950.222818377531,872.005798643538,969.593383363903,0.198304110057166,0.105222600950181,1.88461517075647,0.059481812594429,0.245849377268654
"ZNF609",2260.5301589791,2459.5425181864,1494.57348271012,1889.24171924218,2340.5701865692,2201.94932914313,2107.73456580502,-0.0498870677349763,0.167118811188876,-0.298512581438808,0.765311975009033,0.903319599004493
"OAZ2",4035.29875029668,3871.83186460203,4242.46234832216,4236.90238506518,4207.55013174853,4199.94319787978,4132.33144631906,-0.0574513127112366,0.0774330713693397,-0.741948003550134,0.458118839808235,0.720689059854858
"RBPMS2",161.54657215533,133.549819992022,135.963251163096,108.155119431406,139.947437498505,121.603632997069,133.460972206238,0.221608385189248,0.196246489018453,1.129234904011,0.258798753192098,0.551451421897558
"PIF1",1037.71235585889,1140.73804576518,1150.06509442468,935.690620401982,942.109923450081,865.848652669003,1012.02744876164,0.279955478954526,0.0993482075278427,2.81792179165454,0.00483355817764113,0.0486381826903391
"PLEKHO2",2075.42471171778,2115.65173170694,2171.3228982738,2532.21894301788,2436.91081383266,2131.91179368279,2243.90681537198,-0.157679375719747,0.0963602976105648,-1.63635210381977,0.101765917172615,0.335181614212519
"ANKDD1A",77.4077324910956,89.0332133280144,81.7824067146441,123.038851463251,104.453522190913,112.367914035266,98.0139400371974,-0.453354245714063,0.212118050437472,-2.13727330031116,0.0325757691629535,0.170582395523959
"SPG21",2423.19858232995,2669.88348467383,3070.92937213489,3073.98678897703,3023.06747234089,3141.68373350655,2900.45823899386,-0.178233665562822,0.104512773918011,-1.7053768537676,0.0881241623523815,0.310334819712632
"MTFMT",756.127705782586,732.298179622918,833.158268405437,731.287367164646,799.120150353782,718.07714928016,761.678136768255,0.0475068364026627,0.108570468250428,0.437566837172369,0.661700315520395,0.849515318863342
"UBAP1L",996.203861624535,910.364606278947,879.160872182424,953.551098840196,980.646174355466,1022.08623177283,957.0021408424,-0.0866984738790091,0.100186659386825,-0.865369445489373,0.386836045709778,0.667707315445733
"PDCD7",964.792028149888,1021.65612293896,1130.64177282995,1220.46602661128,1291.97851719634,1169.85773516168,1133.23203381468,-0.239296379274068,0.103565704049742,-2.31057550826995,0.0208563133536555,0.128048747164243
"CLPX",2460.21967178221,2431.71963902139,2647.7054173866,2437.95530681619,2512.9692037775,2468.24589254177,2493.13585522095,0.0234702904147296,0.0816915837994045,0.287303652630379,0.773879826111965,0.907851300004743
"PARP16",429.669007885357,346.116616812656,313.839985767447,440.558468142609,436.068102350414,387.900196395713,392.358729559033,-0.214531011413825,0.150073630526302,-1.42950504136852,0.152859126984976,0.420897222353872
"DPP8",2245.9460934373,2229.16907870016,1792.05698713464,1957.70688658866,2174.25584055648,2463.62803306087,2143.79381991302,-0.074489765924492,0.125302860803355,-0.594477775263192,0.552192602781836,0.782329171920787
"HACD3",5277.18802374078,5251.84667118625,4830.27339658367,5532.77932063781,5392.03279115617,5243.57944056348,5254.61660731136,-0.0740547373664015,0.0793175622164487,-0.933648681288445,0.350485145028908,0.639805563756139
"INTS14",1669.31457893841,1617.06573707006,1721.51966134326,2021.21080992454,1898.4174130232,1937.19205223812,1810.78670875626,-0.22569764098417,0.0841025950306295,-2.68359901263418,0.00728344048078107,0.0642526332757628
"SLC24A1",633.845925470566,481.892267137878,480.471639448534,536.806601948539,717.991201079287,625.719959662133,579.454599124489,-0.236857699737381,0.155730321873557,-1.52094785965763,0.128272922322764,0.379933287269759
"DENND4A",842.510247837867,760.121058787923,587.811048261504,687.628419871234,713.934753615562,784.266468506412,729.37866614675,0.00142504820476366,0.144060214085664,0.00989203170221775,0.992107429347725,0.997681924601911
