"","E1","E2","E3","F1","F2","F3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM183A",1426.48785800924,1451.68106949989,1499.27225680094,1435.42533729411,1443.80694069435,1325.32383627689,1430.3328830959,-0.0596093078711593,0.0687024536167964,-0.86764452698653,0.385588962628119,0.960242133729793
"PPFIA4",82.6949482903907,59.2988339465782,67.5871642668383,84.1368314932603,72.4430553673944,59.0107693524747,70.8619337861561,0.0362752749419898,0.260888849793774,0.139044941823556,0.889414635513848,0.994967510486715
"LINC01136",16.0795732786871,13.6843462953642,8.72092442152753,17.8472066803885,16.0048610695406,13.5434552612237,14.3133945011219,0.318973435007241,0.554448442556447,0.575298640098114,0.565089341078022,NA
"BTG2",5393.54829405103,3662.84335839248,4193.31115935115,4401.88604767012,4688.58193226648,5031.39362954461,4561.92740354598,0.0921764651303886,0.173311916871766,0.531853012730741,0.594827802795041,0.98318396528226
"PRELP",25.2679008665083,41.0530388860926,33.4302102825222,33.1448124064359,33.6944443569276,44.499924429735,35.1817218713703,0.160537754372833,0.361502440387082,0.444084842694105,0.656981244614933,NA
"ATP2B4",2439.50097456652,2750.5536053682,2398.25421592007,2498.6089352544,2673.65415972221,2422.34371243601,2530.4859338779,0.00310874525071705,0.0671706406917756,0.0462813100887645,0.963086035733708,0.998492331234247
"SNRPE",1618.29419640501,1807.47407317935,1536.33618559243,1822.96468235397,1938.27291163226,1632.95374863897,1726.04929963367,0.12270048686922,0.0794972494440021,1.54345575132949,0.122720235652891,0.859041649570238
"SOX13",831.543646697817,750.35832186247,842.2959503792,769.979488211049,881.109719933657,836.792057211322,818.679864049253,0.0385461337269039,0.0881390344509894,0.437333287878685,0.661869657552722,0.988984989390857
"ETNK2",32.1591465573741,42.1934010773729,34.8836976861101,30.5952114520946,26.9555554855421,35.7934174760912,33.7634049557642,-0.226443587959411,0.360589594241659,-0.627981482481864,0.530016070690635,NA
"PLEKHA6",6.89124569086589,13.6843462953642,7.26743701793961,14.0228052488767,10.1083333070783,5.80433796909587,9.62975092153676,0.101823216417209,0.690211703759495,0.147524615799169,0.882717951693333,NA
"PPP1R15B",6957.86106587759,7630.16342185682,7529.06475058543,7229.39350603453,7269.57637000713,7108.37923281941,7287.40639119682,-0.0339868929597036,0.0492094070549002,-0.69065845320563,0.489780204363621,0.972959819979918
"PIK3C2B",1704.43476754083,1930.63318983763,2371.36469895369,2378.77769040036,2253.31596636953,2149.53982788851,2131.34435683176,0.17146381146584,0.0916587173092839,1.87067653245975,0.0613899294903489,0.755132059036464
"MDM4",1689.50373521062,1716.24509787693,1773.25463237726,1675.08782700218,1668.71735677684,1750.97528734392,1712.29732276463,-0.0246310080894759,0.0628888210215342,-0.391659561896412,0.695309772582923,0.992125519362308
