"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RND3",2338.66352716933,-0.174213451144397,0.062119496056552,-2.8044891250534,0.00503963876730919,0.353196882404193
"RBM43",309.097434137019,0.110869421182072,0.132799910992047,0.834860658820112,0.403796167663291,0.967019491934355
"NMI",113.410535581967,-0.214866915433229,0.215652731985662,-0.996356102029419,0.319077154005275,0.951200475578998
"TNFAIP6",250.727162787033,-0.159130552679856,0.173372613018758,-0.91785288292701,0.358695891846426,0.954173815791985
"RIF1",3625.26691710337,0.0388868830858341,0.0644393935348779,0.603464448571921,0.546199759148296,0.978955796553835
"NEB",328.592763665834,-0.0217235823942806,0.136903392913839,-0.158678188552657,0.873922423445552,0.995551787914465
"ARL5A",1371.90529191537,0.128584354896155,0.0704554498421447,1.82504483591047,0.0679942636471161,0.775422448464422
"CTD-2021K4.2",245.905206534506,-0.0088317960987456,0.148343006108916,-0.0595363160718283,0.952524940722888,0.997853111283961
"CACNB4",222.017057282549,0.198662725785829,0.144773764730618,1.37222877470571,0.169992230366194,0.898066877682006
"STAM2",1661.60263841256,-0.00036493571998525,0.0632006972357226,-0.00577423566427016,0.995392852114821,0.999373661049197
"FMNL2",1515.15863692543,-0.0605387194837394,0.0787993008968629,-0.768264677410985,0.442329955355526,0.97200133380803
"RP11-17G11.2",92.7872518220807,0.355943806582882,0.233520214561227,1.52425265303769,0.127445609645354,0.86314647435012
"PRPF40A",7770.81139893383,0.0313738859674195,0.0428436568646307,0.732287770545563,0.463992942120852,0.973849402461523
"ARL6IP6",996.146996131442,-0.0403618797160774,0.0910656066351374,-0.443217601105881,0.657608348996951,0.988621668592431
"NR4A2",19608.8214940907,-0.216323192271215,0.0594974579738249,-3.63583923814666,0.000277077095240664,0.0618158999481922
"GPD2",4868.43052928922,-0.0199061173722272,0.0555156437466745,-0.358567712248129,0.719918504546835,0.995164815413842
"RP11-744G10.1",14.152575342058,0.494945497594619,0.572343975674889,0.864769297188803,0.387165425982442,NA
"FAM133DP",86.8285501305498,-0.037212042028862,0.234548879992243,-0.158653676069963,0.873941736933202,0.995551787914465
"ACVR1C",146.471840698771,0.59616312462533,0.193232766996978,3.08520720315852,0.00203410391601414,0.236769695824046
"ACVR1",804.981866967051,0.0908840854950473,0.0938063388128207,0.968848018643981,0.33262102415571,0.951200475578998
"CCDC148",24.6510008054567,0.460543089662431,0.442426844734083,1.04094743604276,0.297899944405373,NA
"PKP4",1630.50796288832,0.100392890457988,0.070369159858977,1.42666035318852,0.153677818735836,0.883759740350633
"TANC1",8663.75356881492,0.0148749764329129,0.0423691395218606,0.351080446777497,0.725527996654815,0.995551787914465
"BTF3L4P2",27.1043792213917,0.544605334868717,0.448427471839475,1.21447807966518,0.22456521546152,NA
"WDSUB1",927.093787479034,-0.0728536466411256,0.0908491770246779,-0.801918619706769,0.422600034674894,0.970176822789563
"BAZ2B",4108.18595649575,-0.0142364554051697,0.0729502937250799,-0.195152818147945,0.845273314482596,0.995551787914465
"AC009506.1",138.295239267876,-0.282968319679131,0.191509061639675,-1.47757143842905,0.139522523871941,0.869322430687784
"AC009961.3",15.3480296559552,0.340794862291225,0.539441495761614,0.631755000252755,0.527546982445885,NA
"MARCHF7",8988.24018807974,0.0160821418429439,0.0576517419035178,0.278953268573532,0.78028068795915,0.995551787914465
"CD302",35.712735341669,0.82890742703911,0.369045102805205,2.24608705206593,0.0246984325327846,NA
"RBMS1",4270.20967284766,0.0193408773925503,0.0559933117763293,0.345414064269128,0.729783105340849,0.995551787914465
"TANK",1106.09222943957,-0.0585054675364022,0.0776226117995142,-0.753716812409143,0.45101928440175,0.97200133380803
"AC009299.4",90.1531313531255,0.0476226496510338,0.219831916907231,0.216632099292163,0.828495068092841,0.995551787914465
"PSMD14",4030.87851822471,-0.0322137588186867,0.0504528385036394,-0.638492496638479,0.523153136862317,0.976541008316417
"DPP4",15.1737315227463,-0.0473143561934127,0.562926805083819,-0.0840506363635813,0.933016172169766,NA
"AC007750.5",24.7904931541931,0.247731159250099,0.460816664217049,0.537591581396055,0.590859043531177,NA
"FAP",2692.82615629343,0.115240836203547,0.0551309725493928,2.09031023532735,0.0365899404384067,0.679098305211711
"IFIH1",11055.2940287049,-0.0232502073482289,0.0680353718204141,-0.341737051273859,0.732548786084958,0.995551787914465
"GCA",860.499439482179,-0.000711683748077175,0.0821679176457149,-0.00866133362592632,0.993089342028782,0.998742208630151
"FIGN",1115.97860645589,0.0344171475587439,0.083109877602965,0.414116210387922,0.67878900157449,0.990489015815528
"GRB14",45.1329674392417,0.138177160054668,0.372899637924053,0.370547852564046,0.710974328685053,0.993014446065292
