"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NPAT",1489.07471691674,-0.0352185215572235,0.651581392847134,-0.0540508399163051,0.956894659014324,0.98804145102833
"ATM",5599.09416103406,-0.00619396889626097,0.359376366970809,-0.0172353261525516,0.986248880175694,0.996116401159802
"POGLUT3",4285.98122223132,-0.362289656182267,0.279197562530894,-1.29761038347955,0.19442125227411,0.584117001784933
"EXPH5",190.465796748167,-0.307010455156963,0.40730844429779,-0.753754211225001,0.45099682320843,0.747454769346949
"DDX10",1480.0858053079,-0.452584163840708,0.469772006782093,-0.96341237303789,0.335340619470748,0.670624983175774
"RDX",9304.19001751735,-0.347703342057254,0.471022419258174,-0.73818851893475,0.460399898658048,0.752973959651885
"RPSAP50",26.9738288114756,0.288428189664235,0.615224550567784,0.468817750198766,0.639199911221777,0.8544406976536
"ZC3H12C",3118.9152273123,-0.228334716874775,0.264320550664858,-0.863855331340808,0.387667367671445,0.70669658509722
"LINC02732",3078.27208831984,-0.248797619863173,0.38746522152596,-0.64211600433022,0.520797865167215,0.790464177987426
"FDX1",4166.92397888944,-1.68475070225527,0.850796392496527,-1.98020433221589,NA,NA
"ARHGAP20",115.200752311876,-0.778856188286467,0.366892790651074,-2.12284407906827,0.0337669197556165,0.574250654029296
"LAYN",105.186008113239,-0.698826569462546,0.420852479320436,-1.66050244159417,0.0968134171273888,0.574250654029296
"SIK2",1493.45033000049,-0.000915763869413782,0.413896746800017,-0.0022125418392241,0.998234648466686,0.999600401633531
"PPP2R1B",1125.59305717565,0.00939522363382861,0.316474809235738,0.0296871136648043,0.97631658919903,0.995294355137282
"ALG9",276.167740275483,0.141261242505635,0.608853424309457,0.232011904451139,0.816528767648304,0.930728473770269
"FDXACB1",117.056668004172,-1.81546674146855,0.816459343471922,-2.22358499046435,0.0261763793346747,0.574250654029296
"C11orf1",422.236980289477,-0.624211957617034,0.392098222542034,-1.5919785444835,0.111389525523776,0.574250654029296
"CRYAB",4157.35246667408,0.357698518278755,0.332251951959425,1.07658816199351,0.281664295176899,0.634304843733128
"DIXDC1",265.014403507879,-0.403816477602042,0.321169740203831,-1.25733039901505,0.208634020667657,0.59180239031044
"DLAT",3945.04142860463,0.187128723448604,0.441557948021829,0.423791994430033,0.671717517037593,0.866583115279734
"PIH1D2",74.5982636414206,-0.566163201982194,0.382377002223324,-1.48064135314166,0.138702169581856,0.574250654029296
"NKAPD1",1292.46331154701,-0.298120113839037,0.39435221257582,-0.755974239099061,0.449664641059134,0.747108144822163
